"time","V","i_L","der(V)","der(i_L)","i_C","i_R"
0.504,25.93917723026212,0.2575748387252085,-1.816933577412694,-1.939177230262125,-0.001816933577412694,0.2593917723026212
0.506,25.93173004656375,0.2537026733516856,-5.614627113951887,-1.93173004656375,-0.005614627113951887,0.2593173004656375
0.508,25.91678275135928,0.2498529361682119,-9.314891345380911,-1.916782751359282,-0.00931489134538091,0.2591678275135928
0.51,25.89454309178524,0.246040422036498,-12.90500888135443,-1.894543091785241,-0.01290500888135443,0.2589454309178524
0.512,25.86524337009579,0.2422794914864832,-16.37294221447472,-1.865243370095794,-0.01637294221447472,0.2586524337009579
0.514,25.82913955868688,0.2385840070958155,-19.70738849105336,-1.829139558686883,-0.01970738849105336,0.2582913955868688
0.516,25.78650917685334,0.2349673078339517,-22.89778393458167,-1.78650917685334,-0.02289778393458167,0.2578650917685334
0.518,25.73765034037983,0.2314421480277256,-25.93435537607275,-1.73765034037983,-0.02593435537607275,0.2573765034037983
0.52,25.68287975271125,0.2280206728447489,-28.80812468236365,-1.682879752711251,-0.02880812468236366,0.2568287975271125
0.522,25.62253131398466,0.2247143751857554,-31.51093795409115,-1.622531313984656,-0.03151093795409116,0.2562253131398465
0.524,25.55695442839644,0.2215340603695127,-34.03548391445169,-1.556954428396441,-0.03403548391445169,0.2555695442839644
0.526,25.48651217625148,0.2184898301663666,-36.37529159614816,-1.486512176251477,-0.03637529159614816,0.2548651217625147
0.528,25.41157984623838,0.2155910350312235,-38.52476343116026,-1.411579846238379,-0.03852476343116026,0.2541157984623838
0.53,25.33254294955106,0.2128462769091306,-40.47915258638002,-1.332542949551062,-0.04047915258638002,0.2533254294955106
0.532,25.24979569788999,0.2102633677957874,-42.23458918311251,-1.249795697889994,-0.04223458918311251,0.2524979569788999
0.534,25.16373913422466,0.2078493297936016,-43.788061548645,-1.163739134224659,-0.04378806154864501,0.2516373913422466
0.536,25.07477949016145,0.205610377974403,-45.13741692721146,-1.074779490161447,-0.04513741692721146,0.2507477949016145
0.538,24.98332642535915,0.2035519044546966,-46.28135979889489,-0.9833264253591452,-0.04628135979889489,0.2498332642535915
0.54,24.88979138980386,0.201678491174853,-47.21942272318566,-0.8897913898038645,-0.04721942272318566,0.2488979138980386
0.542,24.79458588133792,0.1999938836520041,-47.95197516137512,-0.7945858813379232,-0.04795197516137512,0.2479458588133792
0.544,24.698119916366,0.1985010177130111,-48.48018145064894,-0.6981199163660001,-0.04848018145064895,0.24698119916366
0.546,24.60080033769645,0.1972020033782557,-48.80599999870877,-0.6008003376964517,-0.04880599999870877,0.2460080033769645
0.548,24.50302932038312,0.1960981451527049,-48.93214805112628,-0.5030293203831171,-0.04893214805112628,0.2450302932038312
0.55,24.40520292356821,0.1951899519105612,-48.86207732512094,-0.4052029235682078,-0.04886207732512093,0.2440520292356821
0.552,24.30770944831482,0.1944771392659862,-48.59995521716201,-0.3077094483148173,-0.04859995521716201,0.2430770944831482
0.554,24.21092836926933,0.1939586661071236,-48.15061758556968,-0.2109283692693289,-0.04815061758556968,0.2421092836926933
0.556,24.11522863093588,0.193632731376444,-47.51955493291485,-0.115228630935885,-0.04751955493291485,0.2411522863093588
0.5580000000000001,24.02096776379539,0.1934968167561518,-46.71286088180215,-0.02096776379539378,-0.04671286088180215,0.240209677637954
